air_force_blue_raf,"THIS COLOR IS NOT INCLUDED!",#5d8aa8,93,138,168
air_force_blue_usaf,"THIS COLOR IS NOT INCLUDED!",#00308f,0,48,143
air_superiority_blue,"THIS COLOR IS NOT INCLUDED!",#72a0c1,114,160,193
alabama_crimson,"THIS COLOR IS NOT INCLUDED!",#a32638,163,38,56
alice_blue,"THIS COLOR IS NOT INCLUDED!",#f0f8ff,240,248,255
alizarin_crimson,"THIS COLOR IS NOT INCLUDED!",#e32636,227,38,54
alloy_orange,"THIS COLOR IS NOT INCLUDED!",#c46210,196,98,16
almond,"THIS COLOR IS NOT INCLUDED!",#efdecd,239,222,205
amaranth,"THIS COLOR IS NOT INCLUDED!",#e52b50,229,43,80
amber,"THIS COLOR IS NOT INCLUDED!",#ffbf00,255,191,0
amber_sae_ece,"THIS COLOR IS NOT INCLUDED!",#ff7e00,255,126,0
american_rose,"THIS COLOR IS NOT INCLUDED!",#ff033e,255,3,62
amethyst,"THIS COLOR IS NOT INCLUDED!",#96c,153,102,204
android_green,"THIS COLOR IS NOT INCLUDED!",#a4c639,164,198,57
anti_flash_white,"THIS COLOR IS NOT INCLUDED!",#f2f3f4,242,243,244
antique_brass,"
1.TYPE OF SOIL: Sandy Soil
Sand is a naturally occurring granular material composed of finely
divided rock and mineral particles. A soil containing more than 85% sand-sized
particles by mass is called sandy.Sandy soil requires organic amendments such as
glacial rock dust, green sand, kelp meal, or other organic fertilizer blends.
Sandy soils are formed from rock such as shale, granite quartz and limestone.

GREAT FOR:
Carrots, Radishes, Potatoes, Lettuce, Collard greens, Tomatoes, Zucchini,
Corn, Asparagus, Watermelon, Beans, and Cucumber.

SOIL STATUS FOR SANDY SOIL:  FERTILE
-----------------------------------------------------------
2.TYPE OF SOIL: Loamy Soil
A relatively even mix of sand, silt and clay, feels fine-textured and
slightly damp. It has ideal characteristics for gardening, lawns and shrubs. Loamy
soil has great structure, adequate drainage, is moisture retaining, full of nutrients,
easily cultivated and it warms up quickly in spring, but doesn't dry out quickly in
summer. Loamy soils require replenishing with organic matter regularly, and tend to be acidic.

GREAT FOR:
Beans & Peas,Okra,Eggplant,Tomato,Dragon Fruit,Prickly Pear,Pomegranate and Fig.

SOIL STATUS FOR LOAM SOIL:  DRY",#cd9575,205,149,117
antique_fuchsia,"THIS COLOR IS NOT INCLUDED!",#915c83,145,92,131
antique_ruby,"THIS COLOR IS NOT INCLUDED!",#841b2d,132,27,45
antique_white,"NOT INCLUDED",#faebd7,250,235,215
ao_english,"THIS COLOR IS NOT INCLUDED!",#008000,0,128,0
apple_green,"THIS COLOR IS NOT INCLUDED!",#8db600,141,182,0
apricot,"THIS COLOR IS NOT INCLUDED!",#fbceb1,251,206,177
aqua,"THIS COLOR IS NOT INCLUDED!",#0ff,0,255,255
aquamarine,"THIS COLOR IS NOT INCLUDED!",#7fffd4,127,255,212
army_green,"THIS COLOR IS NOT INCLUDED!",#4b5320,75,83,32
arsenic,"THIS COLOR IS NOT INCLUDED!",#3b444b,59,68,75
arylide_yellow,"THIS COLOR IS NOT INCLUDED!",#e9d66b,233,214,107
ash_grey,"THIS COLOR IS NOT INCLUDED!",#b2beb5,178,190,181
asparagus,"THIS COLOR IS NOT INCLUDED!",#87a96b,135,169,107
atomic_tangerine,"THIS COLOR IS NOT INCLUDED!",#f96,255,153,102
auburn,"THIS COLOR IS NOT INCLUDED!",#a52a2a,165,42,42
aureolin,"THIS COLOR IS NOT INCLUDED!",#fdee00,253,238,0
aurometalsaurus,"THIS COLOR IS NOT INCLUDED!",#6e7f80,110,127,128
avocado,"THIS COLOR IS NOT INCLUDED!",#568203,86,130,3
azure,"THIS COLOR IS NOT INCLUDED!",#007fff,0,127,255
azure_mist_web,"THIS COLOR IS NOT INCLUDED!",#f0ffff,240,255,255
baby_blue,"THIS COLOR IS NOT INCLUDED!",#89cff0,137,207,240
baby_blue_eyes,"THIS COLOR IS NOT INCLUDED!",#a1caf1,161,202,241
baby_pink,"THIS COLOR IS NOT INCLUDED!",#f4c2c2,244,194,194
